Year;Type;Technology [μm];Title;Authors;DOI;Conference;Energy [pJ/bit];Normalized Area [10^6F^2];Power [μW];Throughput [Mb/s]
2017;Chaotic Map;0.18;A 82-nW Chaotic Map True Random Number Generator Based on a Sub-Ranging SAR ADC;--;10.1109/JSSC.2017.2694833;IEEE Journal of Solid-State Circuits;0.30;0.14;0.08;0.00
2016;Metastability;0.014;uRNG: A 300–950 mV, 323 Gbps/W All-Digital Full-Entropy True Random Number Generator in 14 nm FinFET CMOS;--;10.1109/jssc.2016.2558490;IEEE Journal of Solid-State Circuits;3.00;5.14;1500.00;162.50
2016;Jitter;0.13;A Low-Cost Low-Power Ring Oscillator-Based Truly Random Number Generator for Encryption on Smart Cards;--;10.1109/TCSII.2016.2530800;IEEE Trans. Circuits Syst. II;0.04;0.30;40.00;0.10
2016;Jitter;0.04;An All-Digital Edge Racing True Random Number Generator Robust Against PVT Variations;--;10.1109/JSSC.2016.2519383;IEEE Journal of Solid-State Circuits;23.00;0.52;46.00;2.00
2014;Jitter;0.13;Truly Random Number Generator Based on a Ring Oscillator Utilizing Last Passage Time;--;10.1109/TCSII.2014.2362715;IEEE Trans. Circuits Syst. II;--;--;--;61.00
2014;Jitter;0.065;A 23Mb/s 23pJ/b fully synthesized true-random-number generator in 28nm and 65nm CMOS;--;10.1109/ISSCC.2014.6757434;IEEE International Solid- State Circuits Conference (ISSCC);57.00;0.26;159.00;2.80
2014;Jitter;0.028;A 23Mb/s 23pJ/b fully synthesized true-random-number generator in 28nm and 65nm CMOS;--;10.1109/ISSCC.2014.6757434;IEEE International Solid- State Circuits Conference (ISSCC);23.00;0.48;540.00;23.16
2014;Jitter;0.065;True Random Number Generator circuits based on single- and multi-phase beat frequency detection;--;10.1109/CICC.2014.6946136;IEEE Custom Integrated Circuits Conference - CICC;66.17;28.40;132.33;2.00
2014;Jitter;0.065;True Random Number Generator circuits based on single- and multi-phase beat frequency detection;--;10.1109/CICC.2014.6946136;IEEE Custom Integrated Circuits Conference - CICC;74.96;2.17;149.91;2.00
2012;Metastability;0.045;2.4 Gbps, 7 mW All-Digital PVT-Variation Tolerant True Random Number Generator for 45 nm CMOS High-Performance Microprocessors;--;10.1109/JSSC.2012.2217631;IEEE Journal of Solid-State Circuits;2.90;1.98;7000.00;2400.00
2011;Jitter;0.065;An oscillator-based true random number generator with jitter amplifier;"Takehiko Amaki; Masanori Hashimoto; Takao Onoye";10.1109/ISCAS.2011.5937668;IEEE International Symposium on Circuits and Systems (ISCAS);--;1.49;--;2.00
2008;Metastability;0.13;True Random Number Generator With a Metastability-Based Quality Control;--;10.1109/JSSC.2007.910965;IEEE Journal of Solid-State Circuits;200.00;8.58;1000.00;0.20
2008;Metastability;0.035;A 3 uW CMOS True Random Number Generator With Adaptive Floating-Gate Offset Cancellation;--;10.1109/JSSC.2008.920327;IEEE Journal of Solid-State Circuits;3610.00;12.16;180.00;0.05
2008;Metastability;0.035;A 3 uW CMOS True Random Number Generator With Adaptive Floating-Gate Offset Cancellation;--;10.1109/JSSC.2008.920327;IEEE Journal of Solid-State Circuits;1880.00;0.25;9.39;0.01
2000;Noise Amplification;2;A noise-based IC random number generator for applications in cryptography;--;10.1109/81.847868;IEEE Trans. Circuits Syst. I;3900.00;0.38;3900.00;1.00
